I,naive,naive_opt,8,16,27,32,37,64,128
32,903,4,468,312,468,234,273,390,702
36,1141,5,645,516,516,516,301,430,774
40,1407,5,705,564,564,564,658,470,846
44,1701,6,918,612,612,612,714,510,918
48,2023,6,990,660,660,660,770,550,990
52,2373,7,1239,944,708,708,826,590,1062
56,2751,7,1323,1008,1134,756,882,630,1134
60,3157,8,1608,1072,1206,804,938,670,1206
64,3591,8,1704,1136,1278,852,994,710,1278
68,4053,9,2025,1500,1350,1350,1050,1500,1350
72,4543,9,2133,1580,1422,1422,1106,1580,1422
76,5061,10,2490,1660,1494,1494,1743,1660,1494
80,5607,10,2610,1740,1566,1566,1827,1740,1566
84,6181,11,3003,2184,2184,1638,1911,1820,1638
88,6783,11,3135,2280,2280,1710,1995,1900,1710
92,7413,12,3564,2376,2376,1782,2079,1980,1782
96,8071,12,3708,2472,2472,1854,2163,2060,1854
100,8757,13,4173,2996,2568,2568,2247,2140,1926
104,9471,13,4329,3108,2664,2664,2331,2220,1998
108,10213,14,4830,3220,2760,2760,2415,2300,2070
112,10983,14,4998,3332,3570,2856,3332,2380,2142
116,11781,15,5535,3936,3690,2952,3444,2460,2214
120,12607,15,5715,4064,3810,3048,3556,2540,2286
124,13461,16,6288,4192,3930,3144,3668,2620,2358
128,14343,16,6480,4320,4050,3240,3780,2700,2430
132,15253,17,7089,5004,4170,4170,3892,4170,5004
136,16191,17,7293,5148,5148,4290,4004,4290,5148
140,17157,18,7938,5292,5292,4410,4116,4410,5292
144,18151,18,8154,5436,5436,4530,4228,4530,5436
148,19173,19,8835,6200,5580,4650,4340,4650,5580
152,20223,19,9063,6360,5724,4770,5565,4770,5724
156,21301,20,9780,6520,5868,4890,5705,4890,5868
160,22407,20,10020,6680,6012,5010,5845,5010,6012
164,23541,21,10773,7524,7182,6156,5985,5130,6156
168,24703,21,11025,7700,7350,6300,6125,5250,6300
172,25893,22,11814,7876,7518,6444,6265,5370,6444
176,27111,22,12078,8052,7686,6588,6405,5490,6588
180,28357,23,12903,8976,7854,6732,6545,5610,6732
184,29631,23,13179,9168,8022,6876,6685,5730,6876
188,30933,24,14040,9360,8190,7020,8190,5850,7020
192,32263,24,14328,9552,9552,7164,8358,5970,7164
196,33621,25,15225,10556,9744,8526,8526,8120,7308
200,35007,25,15525,10764,9936,8694,8694,8280,7452
204,36421,26,16458,10972,10128,8862,8862,8440,7596
208,37863,26,16770,11180,10320,9030,9030,8600,7740
212,39333,27,17739,12264,10512,9198,9198,8760,7884
216,40831,27,18063,12488,10704,9366,9366,8920,8028
220,42357,28,19068,12712,12258,9534,9534,9080,8172
224,43911,28,19404,12936,12474,9702,11319,9240,8316
228,45493,29,20445,14100,12690,11280,11515,9400,8460
232,47103,29,20793,14340,12906,11472,11711,9560,8604
236,48741,30,21870,14580,13122,11664,11907,9720,8748
240,50407,30,22230,14820,13338,11856,12103,9880,8892
244,52101,31,23343,16064,15060,12048,12299,10040,9036
248,53823,31,23715,16320,15300,12240,12495,10200,9180
252,55573,32,24864,16576,15540,12432,12691,10360,9324
256,57351,32,25248,16832,15780,12624,12887,10520,9468
260,59157,33,26433,18156,16020,14418,14952,13350,14418
264,60991,33,26829,18428,16260,14634,15176,13550,14634
268,62853,34,28050,18700,16500,14850,15400,13750,14850
272,64743,34,28458,18972,18414,15066,15624,13950,15066
276,66661,35,29715,20376,18678,15282,15848,14150,15282
280,68607,35,30135,20664,18942,15498,16072,14350,15498
284,70581,36,31428,20952,19206,15714,16296,14550,15714
288,72583,36,31860,21240,19470,15930,16520,14750,15930
292,74613,37,33189,22724,19734,17940,16744,14950,16146
296,76671,37,33633,23028,19998,18180,16968,15150,16362
300,78757,38,34998,23332,22104,18420,19341,15350,16578
304,80871,38,35454,23636,22392,18660,19593,15550,16794
308,83013,39,36855,25200,22680,18900,19845,15750,17010
312,85183,39,37323,25520,22968,19140,20097,15950,17226
316,87381,40,38760,25840,23256,19380,20349,16150,17442
320,89607,40,39240,26160,23544,19620,20601,16350,17658
324,91861,41,40713,27804,23832,21846,20853,19860,17874
328,94143,41,41205,28140,26130,22110,21105,20100,18090
