bench,	b32,	    b64,	    b128,	    b256,	    b512,	    b1024
naive,	2.360838,	2.306598,	2.306950,	2.309254,	2.340517,	2.377702
    4,	6.545292,	6.546571,	6.546731,	6.570155,	6.576364,	6.577387
    8,	3.666120,	3.663752,	3.663848,	3.663432,	3.653224,	3.747304
   16,	2.350406,	2.344999,	2.344038,	2.321301,	2.288582,	2.286118
   30,	2.426695,	2.438566,	2.437478,	2.426919,	2.345830,	2.371494
   31,	2.513703,	2.485574,	2.482311,	2.528076,	2.552359,	2.893799
   32,	1.833413,	1.851174,	1.847205,	1.852261,	1.738693,	1.743461
   33,	2.997095,	3.005740,	3.004360,	3.066824,	3.069703,	3.461416
   34,	2.883431,	2.889831,	2.893063,	2.912615,	2.795047,	2.890695
   48,	2.215590,	2.225541,	2.224934,	2.206822,	2.097478,	2.089445
   64,	1.810629,	1.814278,	1.814629,	1.808677,	1.723206,	1.682661
   96,	2.029639,	1.966885,	1.992838,	1.798341,	1.751588,	1.684773
  128,	2.131174,	2.150950,	2.302598,	1.774244,	1.709253,	1.657829
  256,	2.259783,	2.237894,	2.301798,	2.314246,	1.737797,	1.679653
  512,	2.322246,	2.282278,	2.314662,	2.308459,	2.340166,	1.824422
 1024,	2.352039,	2.301255,	2.309734,	2.309414,	2.322949,	2.381158
 2048,	2.355143,	2.312870,	2.296102,	2.310310,	2.322343,	2.375878
