bench,	b32,	    b64,	    b128,	    b256,	    b512,	    b1024
naive,	2.021604,	1.418787,	1.418851,	1.455779,	1.508163,	1.616418
    4,	7.606601,	7.546186,	7.526953,	7.484970,	7.467082,	7.595753
    8,	4.087271,	3.913706,	3.876262,	3.842213,	3.839494,	3.841382
   16,	2.168419,	2.047235,	2.022723,	1.987528,	2.002947,	2.099044
   30,	2.273539,	2.138372,	2.094051,	2.049124,	2.043203,	2.191716
   31,	2.284132,	2.127907,	2.088579,	2.063460,	2.047908,	2.198116
   32,	1.483810,	1.359714,	1.320099,	1.290338,	1.365603,	1.621251
   33,	2.227971,	2.032260,	2.000323,	1.945379,	1.921475,	2.078019
   34,	2.137060,	1.978275,	1.953507,	1.900035,	1.873475,	2.044579
   48,	1.687941,	1.679107,	1.662146,	1.579299,	1.545283,	1.812899
   64,	1.464707,	1.394082,	1.377892,	1.314979,	1.332194,	1.593763
   96,	1.473250,	1.438883,	1.441570,	1.355940,	1.336578,	1.605635
  128,	1.471618,	1.472579,	1.468674,	1.375874,	1.338722,	1.601924
  256,	1.472002,	1.464450,	1.465412,	1.457987,	1.376899,	1.600099
  512,	1.488035,	1.466114,	1.464675,	1.449699,	1.471075,	1.611458
 1024,	1.485923,	1.460067,	1.458595,	1.452962,	1.465091,	1.680579
 2048,	1.491236,	1.454884,	1.453986,	1.440579,	1.466466,	1.670819
