bench,	b32,	    b64,	    b128,	    b256,	    b512,	    b1024
naive,	2.005857,	1.405025,	1.407393,	1.453889,	1.505921,	1.615841
    4,	7.605089,	7.547905,	7.525186,	7.484641,	7.467814,	7.597600
    8,	4.087041,	3.915649,	3.876194,	3.840737,	3.842113,	3.843009
   16,	2.164770,	2.052801,	2.021956,	1.993185,	2.001633,	2.114785
   30,	2.271425,	2.131716,	2.086593,	2.048865,	2.036577,	2.217441
   31,	2.268897,	2.133313,	2.087330,	2.051266,	2.047745,	2.230659
   32,	1.496257,	1.365089,	1.326752,	1.302784,	1.385505,	1.674531
   33,	2.213793,	2.030882,	1.992385,	1.938017,	1.915201,	2.092929
   34,	2.134433,	1.973921,	1.942593,	1.894049,	1.877985,	2.072929
   48,	1.687105,	1.672897,	1.650177,	1.589059,	1.550434,	1.855873
   64,	1.480737,	1.401153,	1.382625,	1.316640,	1.346209,	1.652769
   96,	1.477729,	1.432705,	1.434947,	1.354592,	1.352194,	1.648065
  128,	1.487713,	1.475617,	1.460161,	1.372898,	1.350817,	1.646561
  256,	1.490401,	1.466722,	1.457313,	1.452257,	1.380258,	1.655811
  512,	1.508289,	1.456353,	1.465921,	1.451841,	1.470689,	1.673889
 1024,	1.480577,	1.452195,	1.450273,	1.446337,	1.467456,	1.729121
 2048,	1.508961,	1.447489,	1.446017,	1.437249,	1.470689,	1.729953
